from,to,in_degree_from,in_degree_to,out_degree_from,out_degree_to,overall_degree_from,overall_degree_to,label
3854592,2213172,108,5,3483,0,3591,5,1
3672238,3183555,518,90,12172,0,12690,90,1
755739,891714,1117,58,58043,0,59160,58,1
4314280,4560190,568,1,9552,0,10120,1,1
3280389,936523,1101,1,411419,0,412520,1,1
1733957,2261953,554,115,15185,0,15739,115,1
2595727,4041270,125,125,1928,211,2053,336,1
2950311,2929358,807,720,85116,0,85923,720,1
3478545,4308096,72,197,572,0,644,197,1
445996,205549,1175,2,12828,0,14003,2,1
4417253,605874,1130,145,68389,3312,69519,3457,1
6618,2699578,892,86,68849,0,69741,86,1
3509903,442401,1530,8,509445,0,510975,8,1
2429949,1506213,27,47,293,0,320,47,1
4532707,699875,214,8,956,0,1170,8,1
2704966,2401410,139,10,560,0,699,10,1
2281149,184509,282,70,28082,0,28364,70,1
55855,4044880,245,88,5888,0,6133,88,1
665164,3995559,396,239,12610,0,13006,239,1
3280389,3062224,1101,2,411419,0,412520,2,1
1588705,3328761,1000,55,11879,0,12879,55,1
1330432,4472110,12,84,1926,0,1938,84,1
3127090,3444777,678,9,10017,0,10695,9,1
2361966,112765,149,25,1585,0,1734,25,1
1794526,1156464,169,100,1730,0,1899,100,1
3245012,4436269,8,11,301,0,309,11,1
3104095,1777363,16,1,742,0,758,1,1
2723674,1995058,134,128,558,0,692,128,1
2827436,1899503,882,2,271525,0,272407,2,1
1930227,4249983,90,679,400,16076,490,16755,1
3361377,2941160,4841,3,761793,0,766634,3,1
3509903,802700,1530,1,509445,0,510975,1,1
4708835,1134905,190,6,7539,0,7729,6,1
3115867,2472748,1350,28,61232,0,62582,28,1
1494665,3243872,668,57,37638,0,38306,57,1
1199507,3387761,38,1,242,0,280,1,1
6618,3317523,892,2,68849,0,69741,2,1
1558355,2568727,51,39,73,156,124,195,1
1560049,4551372,1121,7,12468,0,13589,7,1
1580988,3429078,2821,234,400133,0,402954,234,1
3361377,3616284,4841,48,761793,0,766634,48,1
3764177,2387567,1036,22,64563,0,65599,22,1
1580988,806090,2821,3,400133,0,402954,3,1
898068,4715972,138,247,3174,0,3312,247,1
3509214,2479787,263,33,14139,0,14402,33,1
3638272,2167454,2022,6,370904,0,372926,6,1
1560049,112973,1121,39,12468,0,13589,39,1
3881566,688982,781,110,14176,0,14957,110,1
3764177,3572839,1036,12,64563,0,65599,12,1
370123,1772721,110,64,7231,0,7341,64,1
1431189,4737139,167,47,3075,0,3242,47,1
932720,4588597,1411,79,111323,0,112734,79,1
1151593,2710449,231,8,5501,0,5732,8,1
3360582,411892,132,390,1119,0,1251,390,1
3169031,1958259,74,1,3887,0,3961,1,1
2464401,507299,577,423,23681,0,24258,423,1
3361377,2464227,4841,3,761793,0,766634,3,1
3815269,4380838,213,86,7440,0,7653,86,1
201249,2711703,323,130,621,406,944,536,1
2790006,2716050,367,47,14747,0,15114,47,1
866357,4657857,825,60,18479,0,19304,60,1
4395121,4691664,37,111,551,0,588,111,1
3638272,3941191,2022,1,370904,0,372926,1,1
3280389,1298622,1101,1,411419,0,412520,1,1
3280389,4487084,1101,3,411419,0,412520,3,1
4099305,3803209,118,103,5174,0,5292,103,1
1887709,3682912,217,23,28983,0,29200,23,1
4400969,368018,33,69,1123,0,1156,69,1
1339664,3388130,228,81,6682,0,6910,81,1
633851,2950557,6,499,72,199,78,698,1
4330391,272501,773,202,32759,0,33532,202,1
1633022,3028722,246,1,23530,0,23776,1,1
933859,963360,206,23,1051,0,1257,23,1
3361377,4617376,4841,1,761793,0,766634,1,1
2911269,1017318,740,91,20606,0,21346,91,1
3065808,1883793,1235,43,82317,0,83552,43,1
755739,4604786,1117,31,58043,0,59160,31,1
2862203,1784911,290,380,506,0,796,380,1
2781817,3715361,704,28,24613,0,25317,28,1
3936039,741268,799,44,23884,0,24683,44,1
4220190,533975,320,36,15994,0,16314,36,1
427805,4643081,483,1,156906,0,157389,1,1
3638272,3260776,2022,1,370904,0,372926,1,1
1071094,3056533,31,1117,203,25,234,1142,1
2851109,594561,450,2,98552,0,99002,2,1
3128197,2356028,122,242,6176,0,6298,242,1
3054732,1045016,310,46,4246,0,4556,46,1
3933095,301627,304,10,2162,0,2466,10,1
4738916,1285895,1165,2,34124,0,35289,2,1
932720,1480051,1411,14,111323,0,112734,14,1
3638272,2060913,2022,1,370904,0,372926,1,1
2779329,1366176,217,98,6021,0,6238,98,1
1713569,4227428,56,8,265,0,321,8,1
3280389,3241008,1101,3,411419,0,412520,3,1
2198338,3401331,72,20,826,0,898,20,1
3638272,1827747,2022,4,370904,0,372926,4,1
2260014,3935649,2466,2,98622,0,101088,2,1
2783132,1288562,13,11,258,0,271,11,1
815493,3918501,152,14,444,0,596,14,1
1580988,2308597,2821,15,400133,0,402954,15,1
2772113,525667,792,31,42907,0,43699,31,1
3509903,2633831,1530,3,509445,0,510975,3,1
4198771,528326,207,2,8543,0,8750,2,1
1475591,240363,178,2,3828,0,4006,2,1
2040859,786175,14,16,139,0,153,16,1
919120,2048936,205,87,2831,0,3036,87,1
378943,1549597,340,103,12563,0,12903,103,1
2490914,4265021,570,42,22965,0,23535,42,1
4208653,1456205,1820,8,21104,0,22924,8,1
3914135,3101416,2152,100,60084,0,62236,100,1
1927211,634001,1668,13,113322,0,114990,13,1
3540105,1450321,83,2,4179,0,4262,2,1
6618,3555419,892,645,68849,0,69741,645,1
532681,456889,433,41,35023,0,35456,41,1
2999451,4718005,227,2,107,0,334,2,1
4198771,1514529,207,41,8543,0,8750,41,1
4604311,4314515,29,1,7472,0,7501,1,1
3361377,2074763,4841,1,761793,0,766634,1,1
3280389,3456103,1101,2,411419,0,412520,2,1
1926857,3832364,20,1353,195,0,215,1353,1
4642569,1052032,872,72,27586,0,28458,72,1
3638272,440797,2022,2,370904,0,372926,2,1
1723506,4521813,733,69,21835,0,22568,69,1
1903752,213636,506,59,10494,0,11000,59,1
2494898,969900,58,18,551,0,609,18,1
4295952,4649289,808,516,57369,0,58177,516,1
3914135,2071013,2152,4,60084,0,62236,4,1
269982,3764661,351,374,9019,0,9370,374,1
2981537,4490031,1252,4,118718,0,119970,4,1
3676295,4571120,374,6,70881,0,71255,6,1
2856484,2094118,48,340,202,0,250,340,1
2827436,4487455,882,1,271525,0,272407,1,1
4612316,3247441,9,86,84,0,93,86,1
3214227,1234130,27,71,1890,0,1917,71,1
1927211,1516250,1668,63,113322,0,114990,63,1
4238001,3401659,869,40,61161,0,62030,40,1
3361377,4824704,4841,1,761793,0,766634,1,1
354904,3814128,3193,1,105780,0,108973,1,1
2772113,4058678,792,34,42907,0,43699,34,1
3280389,3338329,1101,1,411419,0,412520,1,1
1847461,3479808,1211,140,51149,0,52360,140,1
2536472,4641161,344,2,9725,0,10069,2,1
3361377,989676,4841,51,761793,0,766634,51,1
151693,119001,436,17,12181,0,12617,17,1
3211788,3769579,92,23,675,0,767,23,1
748019,1779071,675,9,18480,0,19155,9,1
3906136,837084,387,5,41169,0,41556,5,1
3280389,1922204,1101,1,411419,0,412520,1,1
2887240,2492156,1143,9,118405,0,119548,9,1
4503880,2982350,72,59,1028,0,1100,59,1
3610143,4496464,187,105,1057,193,1244,298,1
2659272,3311544,28,32,183,0,211,32,1
2518926,518809,9,3,305,0,314,3,1
2851109,2593733,450,3,98552,0,99002,3,1
2147720,1758006,1608,100,78786,0,80394,100,1
948375,1443939,113,33,4186,0,4299,33,1
1103332,857635,732,145,59415,0,60147,145,1
3881634,411313,641,6,8471,0,9112,6,1
2075015,4005333,2664,77,85781,0,88445,77,1
3638272,2626993,2022,1,370904,0,372926,1,1
1391852,431517,83,9,549,0,632,9,1
3654066,1982379,8,8,42,0,50,8,1
2969895,3553299,103,1,734,0,837,1,1
3584971,869439,22,2,416,0,438,2,1
501914,4554696,217,364,5217,0,5434,364,1
1580988,3811666,2821,2,400133,0,402954,2,1
3638272,1898912,2022,1,370904,0,372926,1,1
2911269,1009793,740,204,20606,0,21346,204,1
1580988,50617,2821,8,400133,0,402954,8,1
3115867,2552883,1350,28,61232,0,62582,28,1
1621606,250475,559,40,4228,0,4787,40,1
2866109,2106513,26,2,372,0,398,2,1
3060030,660795,81,34,1508,0,1589,34,1
781211,1360850,976,189,51781,0,52757,189,1
1493489,2971054,523,41,17512,0,18035,41,1
4838376,3617474,606,320,26838,0,27444,320,1
4210063,1975281,68,3,575,0,643,3,1
530200,781371,2035,1,62809,0,64844,1,1
1539837,74744,1127,125,62979,0,64106,125,1
1847461,3446647,1211,84,51149,0,52360,84,1
3052059,4173523,164,21,1173,171,1337,192,1
4208653,1028990,1820,5,21104,0,22924,5,1
750999,3380947,400,526,176,367,576,893,1
3449530,1234064,717,18,73648,0,74365,18,1
3842148,3860541,719,34,11430,0,12149,34,1
3509903,1575915,1530,3,509445,0,510975,3,1
17330,633257,154,59,972,0,1126,59,1
1250021,3432463,4637,8,85913,0,90550,8,1
1792979,905894,76,268,1075,1162,1151,1430,1
3837587,2296266,30,262,409,0,439,262,1
3922194,1524033,175,557,1847,0,2022,557,1
1117046,2163804,188,25,2115,0,2303,25,1
3361377,2843896,4841,1,761793,0,766634,1,1
1580988,1936404,2821,1,400133,0,402954,1,1
1190415,2070980,54,140,719,73,773,213,1
4301252,3677457,118,34,2905,0,3023,34,1
4330391,3315294,773,98,32759,0,33532,98,1
932720,2628324,1411,17,111323,0,112734,17,1
3676295,4311530,374,1,70881,0,71255,1,1
1792816,2499514,246,31,1522,0,1768,31,1
2514271,837904,387,32,19070,0,19457,32,1
2897926,2162817,565,74,25983,0,26548,74,1
4636168,4765802,215,242,1967,0,2182,242,1
4002395,719051,62,13,416,0,478,13,1
2405789,994161,1010,134,93387,0,94397,134,1
2998026,3363329,919,15,24182,0,25101,15,1
1960138,2270766,181,21,722,0,903,21,1
873006,845215,375,23,33630,0,34005,23,1
494210,2888600,26,1,1024,0,1050,1,1
2827436,1716434,882,14,271525,0,272407,14,1
3385289,3886125,648,487,7232,0,7880,487,1
2856965,2232013,23,9,892,0,915,9,1
2883055,3586956,286,2,13198,0,13484,2,1
3225310,4197964,320,108,10537,0,10857,108,1
3361377,148363,4841,2,761793,0,766634,2,1
3361377,934822,4841,1,761793,0,766634,1,1
4698411,3835328,85,45,388,0,473,45,1
3759853,1173891,451,71,16330,0,16781,71,1
1084944,2037402,119,44,282,0,401,44,1
1475591,155065,178,74,3828,0,4006,74,1
905729,996045,57,134,238,0,295,134,1
3428306,824048,103,2,2173,0,2276,2,1
1534362,58954,1531,26,105859,0,107390,26,1
3683235,1161284,311,9,23110,0,23421,9,1
4838376,2849533,606,310,26838,0,27444,310,1
3836080,4609649,1197,76,59457,0,60654,76,1
1047192,2261050,90,5,131,0,221,5,1
755739,1725796,1117,30,58043,0,59160,30,1
1927211,164547,1668,39,113322,0,114990,39,1
4649206,4779119,566,38,31367,0,31933,38,1
4272102,4266749,1608,7,104171,0,105779,7,1
484672,2554448,276,32,1985,0,2261,32,1
427805,987595,483,1,156906,0,157389,1,1
4255252,3029199,176,967,991,0,1167,967,1
515290,4748953,285,94,34080,0,34365,94,1
4385783,3973842,290,19,10995,0,11285,19,1
393185,3260238,591,86,7719,0,8310,86,1
661744,1293953,35,101,145,0,180,101,1
1318501,4037466,117,151,1335,0,1452,151,1
4011264,1602318,1360,20,116777,0,118137,20,1
1638027,1462500,60,760,422,0,482,760,1
1580988,1116526,2821,2,400133,0,402954,2,1
2853969,3487419,1051,97,42591,0,43642,97,1
4238001,2762826,869,14,61161,0,62030,14,1
3088808,9452,227,34,7820,0,8047,34,1
3509903,2400482,1530,21,509445,0,510975,21,1
4744892,3413134,340,873,353,501,693,1374,1
2751572,213380,481,2,44036,0,44517,2,1
3979742,2458622,9,6,86,0,95,6,1
2088561,2105745,20,27,908,0,928,27,1
755739,3930611,1117,333,58043,0,59160,333,1
4209323,2880500,1630,16,89460,0,91090,16,1
3509903,3701613,1530,2,509445,0,510975,2,1
3509903,1509297,1530,1,509445,0,510975,1,1
1968010,2842285,786,155,10371,0,11157,155,1
855906,3793452,81,129,995,0,1076,129,1
805360,3453690,1514,45,119306,0,120820,45,1
3633019,98881,746,16,32317,0,33063,16,1
4360960,3475011,1642,14,110084,0,111726,14,1
4579906,1064609,90,894,1938,0,2028,894,1
4290840,1650297,118,155,661,416,779,571,1
2260014,2615778,2466,9,98622,0,101088,9,1
863643,1699751,517,18,1804,0,2321,18,1
2439199,1803520,631,71,5929,0,6560,71,1
3509214,1246081,263,1,14139,0,14402,1,1
1178312,4776325,1213,405,2028,0,3241,405,1
581535,4167969,1283,1,8414,0,9697,1,1
1580988,3286833,2821,1,400133,0,402954,1,1
3633019,2710110,746,131,32317,0,33063,131,1
2513691,4220524,244,13,17485,0,17729,13,1
3441019,3117551,68,801,628,75,696,876,1
3980505,1906654,255,141,6464,0,6719,141,1
3509903,3693856,1530,2,509445,0,510975,2,1
1575009,4453755,429,1,37745,0,38174,1,1
3438576,190239,3424,6,137753,0,141177,6,1
1608466,2336155,18,1,178,0,196,1,1
375387,626037,29,33,293,0,322,33,1
3361377,2466118,4841,1,761793,0,766634,1,1
522588,4803975,496,2,20091,0,20587,2,1
2516076,1262812,1455,163,77782,0,79237,163,1
3457745,4203615,219,46,1864,0,2083,46,1
3803324,2589752,2,675,191,0,193,675,1
1086912,4255252,907,176,33396,991,34303,1167,1
1943259,3912972,78,4,1765,0,1843,4,1
4417253,4762680,1130,54,68389,0,69519,54,1
3557565,3821868,143,22,717,0,860,22,1
2147720,4066509,1608,20,78786,0,80394,20,1
530200,4337603,2035,333,62809,9909,64844,10242,1
4596817,79048,160,76,1879,267,2039,343,1
860473,3400746,751,1,20450,0,21201,1,1
4313572,1243007,930,142,16971,1185,17901,1327,1
2851109,4137440,450,3,98552,0,99002,3,1
4191410,4713595,1590,64,96434,0,98024,64,1
3137585,1781364,1196,32,77354,0,78550,32,1
2961552,2245947,562,267,16546,0,17108,267,1
920553,2574251,349,146,8968,0,9317,146,1
2028435,34966,157,62,4516,0,4673,62,1
3947176,854836,9,38,146,0,155,38,1
3361377,2847990,4841,1,761793,0,766634,1,1
3280389,4566256,1101,2,411419,0,412520,2,1
1717922,451569,432,255,6340,0,6772,255,1
1471685,522316,1681,16,25550,0,27231,16,1
2911269,4115546,740,144,20606,0,21346,144,1
2209136,2437871,620,33,33789,0,34409,33,1
2521113,3353305,67,31,985,0,1052,31,1
4110535,1772559,395,40,7311,0,7706,40,1
3509903,3952554,1530,5,509445,0,510975,5,1
3638272,3187878,2022,184,370904,0,372926,184,1
2950311,432202,807,62,85116,0,85923,62,1
544230,311403,1532,8,60768,0,62300,8,1
1962884,3899424,404,10,3358,0,3762,10,1
108486,4137283,225,80,3045,0,3270,80,1
3102873,3804998,341,4,15098,0,15439,4,1
3280389,3365039,1101,6,411419,0,412520,6,1
2516076,4647375,1455,7,77782,0,79237,7,1
4360960,2332423,1642,22,110084,0,111726,22,1
837553,1531445,1249,106,61665,0,62914,106,1
4014826,107981,244,8,288,0,532,8,1
495630,1879968,4,16,36,0,40,16,1
3387402,4751300,137,1,307,0,444,1,1
625391,72816,44,106,558,393,602,499,1
4099624,2476585,129,77,734,0,863,77,1
3676150,2590223,125,40,7579,0,7704,40,1
4816740,1982497,141,34,7750,0,7891,34,1
2148937,1750528,672,1,47361,0,48033,1,1
3438576,1090126,3424,109,137753,0,141177,109,1
4751453,101694,520,45,27570,0,28090,45,1
1501723,2518731,21,116,58,384,79,500,1
2426529,1093743,58,9,196,0,254,9,1
2405789,1344160,1010,25,93387,0,94397,25,1
454446,1077696,103,159,624,0,727,159,1
948768,844546,587,10,14768,0,15355,10,1
805360,3984246,1514,67,119306,0,120820,67,1
593740,3305655,1107,88,62807,0,63914,88,1
4528103,4267965,268,31,14258,0,14526,31,1
153377,279412,154,7,589,0,743,7,1
2173241,343833,708,624,430,1274,1138,1898,1
4297315,692427,195,72,7446,0,7641,72,1
1580988,4818168,2821,1,400133,0,402954,1,1
2887240,2196735,1143,1,118405,0,119548,1,1
2961801,4264758,1483,24,101962,0,103445,24,1
1580988,4375456,2821,4,400133,0,402954,4,1
966267,2640228,39,1,637,0,676,1,1
3638272,386567,2022,1,370904,0,372926,1,1
2260014,3984342,2466,5,98622,0,101088,5,1
2405789,3155183,1010,3,93387,0,94397,3,1
3150561,2583328,157,4,2631,0,2788,4,1
