from,to,label,in_degree_from,in_degree_to,out_degree_from,out_degree_to,overall_degree_from,overall_degree_to,bi_degree_from,bi_degree_to,in_common_friends,out_common_friends,bi_common_friends,in_total_friends,out_total_friends,bi_total_friends,transitive_friends,preference_attanchment_score,adamic_adar,adamic_adar_out_in
2978494,4567804,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2841215,284254,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2090522,2006737,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3216778,2356095,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
98774,2954965,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3741069,3327293,0,11,1,0,0,11,1,0,0,0,0,0,12,0,0,0,11,0.0,0.0
3427589,2075383,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1589725,4313405,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0.0,0.0
2540959,2442064,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
4718919,4532895,0,26,25,0,0,26,25,0,0,3,0,0,48,0,0,0,650,0.2668137299401676,0.0
4220144,1473363,0,1,44,0,0,1,44,0,0,0,0,0,45,0,0,0,44,0.0,0.0
4645811,779608,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4396702,2668705,0,27,1,0,0,27,1,0,0,0,0,0,28,0,0,0,27,0.0,0.0
1997149,1355831,0,3,74,0,0,3,74,0,0,0,0,0,77,0,0,0,222,0.0,0.0
3119617,3173565,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3750394,4068754,0,5,3,0,0,5,3,0,0,0,0,0,8,0,0,0,15,0.0,0.0
2346545,3391138,0,10,2,0,0,10,2,0,0,0,0,0,12,0,0,0,20,0.0,0.0
26589,3471675,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4372224,3316438,0,1,31,0,0,1,31,0,0,0,0,0,32,0,0,0,31,0.0,0.0
349687,2625467,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3886716,3208628,0,4,2,0,0,4,2,0,0,0,0,0,6,0,0,0,8,0.0,0.0
2171302,283230,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4393313,3587241,0,1,28,0,0,1,28,0,0,0,0,0,29,0,0,0,28,0.0,0.0
1842851,149320,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
854793,357385,0,23,2,0,0,23,2,0,0,0,0,0,25,0,0,0,46,0.0,0.0
3142382,438655,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
3652389,2693423,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
770556,29527,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
132477,3236284,0,46,1,0,0,46,1,0,0,0,0,0,47,0,0,0,46,0.0,0.0
3843648,1281084,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2821243,729677,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
4344114,1841621,0,7,1,0,0,7,1,0,0,0,0,0,8,0,0,0,7,0.0,0.0
2030816,3441403,0,7,2,0,0,7,2,0,0,0,0,0,9,0,0,0,14,0.0,0.0
1784579,3660707,0,1,7,0,0,1,7,0,0,0,0,0,8,0,0,0,7,0.0,0.0
1099033,1702215,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3254019,525279,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4405382,1161547,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4533381,3904664,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
550858,3294111,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
44220,4778590,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3021463,1044745,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
859856,2042878,0,5,4,0,0,5,4,0,0,0,0,0,9,0,0,0,20,0.0,0.0
2359378,3815801,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
2685010,3533101,0,58,2,0,0,58,2,0,0,0,0,0,60,0,0,0,116,0.0,0.0
3452048,759829,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1130759,3712630,0,10,1,0,0,10,1,0,0,0,0,0,11,0,0,0,10,0.0,0.0
4656833,2783457,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3535440,1871069,0,1,33,0,0,1,33,0,0,0,0,0,34,0,0,0,33,0.0,0.0
208812,4446931,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
946938,4095435,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2753032,3022363,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2270203,4559287,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1949380,1961287,0,2,6,0,0,2,6,0,0,0,0,0,8,0,0,0,12,0.0,0.0
3043879,4615792,0,8,1,0,0,8,1,0,0,0,0,0,9,0,0,0,8,0.0,0.0
1960774,2218331,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3474499,3773046,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3498696,2614823,0,1,6,0,0,1,6,0,0,0,0,0,7,0,0,0,6,0.0,0.0
3943394,2791127,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1447057,2609643,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
407912,2274746,0,13,17,0,0,13,17,0,0,1,0,0,29,0,0,0,221,0.08433289102369465,0.0
3777649,3066802,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3497724,3199217,0,11,2,0,0,11,2,0,0,0,0,0,13,0,0,0,22,0.0,0.0
2031902,3755555,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
438312,238046,0,1,52,0,590,1,642,0,44,1,0,0,52,590,44,0,642,0.0860303509666347,0.0
136998,1173991,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3864109,1806532,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1942360,14411,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2632408,1994896,0,142,35,202,0,344,35,66,0,1,0,0,176,202,66,1,12040,0.07380201915254651,0.07380201915254651
1920895,1349699,0,9,71,0,0,9,71,0,0,1,0,0,79,0,0,0,639,0.08729610684393271,0.0
3579211,4811109,0,1,21,0,0,1,21,0,0,0,0,0,22,0,0,0,21,0.0,0.0
1537656,4459403,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4629463,738567,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1351552,3289066,0,1,3,0,0,1,3,0,0,1,0,0,3,0,0,0,3,0.08622810330583087,0.0
1412137,4231303,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4698826,2036715,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2495892,4067488,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4415226,2741588,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1054002,1659795,0,1,25,0,0,1,25,0,0,0,0,0,26,0,0,0,25,0.0,0.0
845014,96172,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4286395,981457,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1377049,4560553,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
698405,3910729,0,4,6,0,0,4,6,0,0,0,0,0,10,0,0,0,24,0.0,0.0
2076527,3176174,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3897503,214285,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1284763,1501705,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2740190,490960,0,5,1,0,0,5,1,0,0,0,0,0,6,0,0,0,5,0.0,0.0
4392238,1009248,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
266218,3833807,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
485572,446137,0,3,11,0,0,3,11,0,0,0,0,0,14,0,0,0,33,0.0,0.0
3495121,3127293,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3899735,2874888,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0.0,0.0
2320730,1574159,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3109811,2766810,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1516663,1962730,0,3,3,0,0,3,3,0,0,0,0,0,6,0,0,0,9,0.0,0.0
1276014,815569,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2071502,2718340,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1309792,313488,0,2,5,0,0,2,5,0,0,0,0,0,7,0,0,0,10,0.0,0.0
1193479,1373640,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
4273565,2856243,0,7,1,0,0,7,1,0,0,0,0,0,8,0,0,0,7,0.0,0.0
3251565,3283122,0,11,1,0,0,11,1,0,0,0,0,0,12,0,0,0,11,0.0,0.0
2388279,2757588,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
670422,4095407,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1614711,3536509,0,2,28,0,0,2,28,0,0,0,0,0,30,0,0,0,56,0.0,0.0
1798348,1254785,0,3,2,0,0,3,2,0,0,1,0,0,4,0,0,0,6,0.07794757616848602,0.0
1069690,1238950,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1385998,3559777,0,1,8,0,0,1,8,0,0,0,0,0,9,0,0,0,8,0.0,0.0
1272820,1039827,0,1,23,0,0,1,23,0,0,0,0,0,24,0,0,0,23,0.0,0.0
3910246,913376,0,7,1,0,0,7,1,0,0,0,0,0,8,0,0,0,7,0.0,0.0
3412521,1843498,0,4,5,0,0,4,5,0,0,0,0,0,9,0,0,0,20,0.0,0.0
3343430,2101256,0,3,7,0,0,3,7,0,0,0,0,0,10,0,0,0,21,0.0,0.0
4081808,824599,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
2250065,715103,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3828056,1347223,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3555484,3358968,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
50847,1398240,0,1,3,0,0,1,3,0,0,1,0,0,3,0,0,0,3,0.07794757616848602,0.0
1483414,2334263,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2962029,4235322,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1818337,261110,0,2,8,0,0,2,8,0,0,0,0,0,10,0,0,0,16,0.0,0.0
4359418,2064728,0,1,5,0,0,1,5,0,0,0,0,0,6,0,0,0,5,0.0,0.0
1130288,33346,0,4,2,0,0,4,2,0,0,0,0,0,6,0,0,0,8,0.0,0.0
2684171,2762155,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2514555,25459,0,5,2,0,0,5,2,0,0,0,0,0,7,0,0,0,10,0.0,0.0
3389461,1081926,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
798055,2702965,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
405591,2014009,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2807959,2569528,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1877701,4480068,0,3,2,0,0,3,2,0,0,1,0,0,4,0,0,0,6,0.07607990126022486,0.0
2946305,4675171,0,1,16,0,0,1,16,0,0,0,0,0,17,0,0,0,16,0.0,0.0
1505149,3823505,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4350127,4208740,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1027094,4455608,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4694038,902450,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
1129711,208066,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4047572,3478572,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
30070,3473696,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3143783,4755302,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
1078868,3935290,0,5,1,0,0,5,1,0,0,0,0,0,6,0,0,0,5,0.0,0.0
1753953,4617414,0,1,2,0,0,1,2,0,0,1,0,0,2,0,0,0,2,0.07380201915254651,0.0
3380848,4076461,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3354415,4638875,0,3,4,0,0,3,4,0,0,0,0,0,7,0,0,0,12,0.0,0.0
4611540,2890735,0,2,8,0,0,2,8,0,0,0,0,0,10,0,0,0,16,0.0,0.0
3909421,4172906,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2513488,2660948,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0.0,0.0
3412551,2518908,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
417362,4679,0,3,2,0,0,3,2,0,0,0,0,0,5,0,0,0,6,0.0,0.0
1446103,472557,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1101348,1297608,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2758168,1117673,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4294250,2084650,0,617,1,0,0,617,1,0,0,0,0,0,618,0,0,0,617,0.0,0.0
78974,2754126,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2301002,4428071,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3436700,426462,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
4282840,2758211,0,4,2,0,0,4,2,0,0,0,0,0,6,0,0,0,8,0.0,0.0
4602571,2900362,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1064389,3377358,0,2,6,0,0,2,6,0,0,0,0,0,8,0,0,0,12,0.0,0.0
3072122,4389267,0,8,1,0,0,8,1,0,0,0,0,0,9,0,0,0,8,0.0,0.0
1373258,3376821,0,18,1,0,0,18,1,0,0,0,0,0,19,0,0,0,18,0.0,0.0
1753668,2159791,0,1,2,0,0,1,2,0,0,1,0,0,2,0,0,0,2,0.07380201915254651,0.0
4069462,3490746,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2043754,3849010,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0.0,0.0
561793,1031803,0,1,52,0,0,1,52,0,0,0,0,0,53,0,0,0,52,0.0,0.0
1745486,4399978,0,17,14,0,0,17,14,0,0,0,0,0,31,0,0,0,238,0.0,0.0
2459068,4184863,0,34,1,0,0,34,1,0,0,1,0,0,34,0,0,0,34,0.07380201915254651,0.0
3035709,667398,0,764,4,0,0,764,4,0,0,0,0,0,768,0,0,0,3056,0.0,0.0
1297277,110128,0,7,1,0,0,7,1,0,0,0,0,0,8,0,0,0,7,0.0,0.0
3311118,3222714,0,1,20,0,0,1,20,0,0,0,0,0,21,0,0,0,20,0.0,0.0
1101342,3374339,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2379762,612518,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2988963,1913822,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3866388,597180,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
415620,2323339,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4327878,1844796,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
4483431,1311672,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
885775,3607515,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3241921,1633183,0,1,22,0,0,1,22,0,0,0,0,0,23,0,0,0,22,0.0,0.0
1348010,2094333,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3535785,432408,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
787702,4419923,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1896290,3691114,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3000799,608787,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
2284054,949169,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
1471183,2526934,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2757737,305416,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1090752,3347837,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
853259,2369355,0,33,3,0,0,33,3,0,0,0,0,0,36,0,0,0,99,0.0,0.0
299530,4714482,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3383842,276395,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3385828,4264501,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2068689,4562434,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3349201,4571059,0,2,6,0,0,2,6,0,0,0,0,0,8,0,0,0,12,0.0,0.0
3904260,1509623,0,1,6,0,0,1,6,0,0,0,0,0,7,0,0,0,6,0.0,0.0
995838,1592202,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2947851,4064203,0,10,1,0,0,10,1,0,0,0,0,0,11,0,0,0,10,0.0,0.0
3748694,4274730,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4853824,2921841,0,5,1,0,0,5,1,0,0,0,0,0,6,0,0,0,5,0.0,0.0
2119230,1186182,0,18,1,0,0,18,1,0,0,0,0,0,19,0,0,0,18,0.0,0.0
329245,861334,0,3,1,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0.0,0.0
2590709,1137043,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3288396,423304,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2362931,3047058,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2679136,4281942,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4556383,2327446,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
428778,2656273,0,2,4,0,0,2,4,0,0,0,0,0,6,0,0,0,8,0.0,0.0
4177835,4167560,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
433272,3898033,0,1,61,0,0,1,61,0,0,0,0,0,62,0,0,0,61,0.0,0.0
3393569,336995,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2546743,448755,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
2136535,664136,0,86,1,0,0,86,1,0,0,0,0,0,87,0,0,0,86,0.0,0.0
4566366,765264,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
312201,4241309,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
2893995,2588311,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3435192,1986636,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3134732,3151967,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
4286505,1239176,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3721283,3907358,0,2,2,0,0,2,2,0,0,1,0,0,3,0,0,0,4,0.07607990126022486,0.0
2955984,2121734,0,4,1,0,0,4,1,0,0,0,0,0,5,0,0,0,4,0.0,0.0
1405544,2543397,0,3,16,0,0,3,16,0,0,0,0,0,19,0,0,0,48,0.0,0.0
954150,4515236,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
800976,1449722,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4127417,1924676,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3104021,512279,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3340502,1400638,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
3183412,2923139,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1519257,385750,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3008848,3162277,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1730841,4494336,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
192225,3943711,0,2,2,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0.0,0.0
4213593,2189719,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
1836065,2223648,0,66,1,0,0,66,1,0,0,0,0,0,67,0,0,0,66,0.0,0.0
1930434,4323395,0,5,5,0,0,5,5,0,0,0,0,0,10,0,0,0,25,0.0,0.0
3053758,924516,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
767474,337573,0,1,3,0,0,1,3,0,0,0,0,0,4,0,0,0,3,0.0,0.0
3432142,308104,0,1,121,0,0,1,121,0,0,0,0,0,122,0,0,0,121,0.0,0.0
2549562,3974449,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4379949,2023152,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
1729728,749299,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0.0
183083,336210,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
517460,3670380,0,1,10,0,0,1,10,0,0,0,0,0,11,0,0,0,10,0.0,0.0
1998692,1332390,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4256981,4581528,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
375136,1352752,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4505504,2768745,0,1,4,0,0,1,4,0,0,0,0,0,5,0,0,0,4,0.0,0.0
3567279,3864215,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
408517,2219425,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
4659852,4410232,0,85,1,0,0,85,1,0,0,0,0,0,86,0,0,0,85,0.0,0.0
1703082,3130370,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
4804493,3004426,0,35,2,0,0,35,2,0,0,1,0,0,36,0,0,0,70,0.08761433424951058,0.0
4423162,2040389,0,2,1,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0.0,0.0
421512,4726974,0,18,1,0,0,18,1,0,0,0,0,0,19,0,0,0,18,0.0,0.0
4556999,167565,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
3654198,3383128,0,2,8,0,0,2,8,0,0,0,0,0,10,0,0,0,16,0.0,0.0
3249644,4503102,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0.0
